COMMON NAME,SCIENTIFIC NAME,OBSERVATION COUNT,STATE CODE,LOCALITY ID,LATITUDE,LONGITUDE,OBSERVATION DATE,Year,Month,Day,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,DURATION MINUTES,EFFORT DISTANCE KM,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L599450,-12.35545,-70.7064,2002-08-09,27,,,07:00:00,obsr104695,S12220598,eBird - Casual Observation,,,14,1,G498817
Plain Tyrannulet,Inezia inornata,1,BO-S,L1351677,-19.052,-63.674,1999-08-13,27,,,07:20:00,obsr112693,S9432695,eBird - Traveling Count,340,4.828,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L1351677,-19.052,-63.674,1999-08-14,27,,,06:00:00,obsr112693,S9432696,eBird - Traveling Count,400,4.828,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L611716,-11.9977657,-71.2225628,1987-08-18,27,,,,obsr30770,S10134053,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,1,BO-L,L1337202,-13.591,-68.506,1997-08-16,27,,,06:20:00,obsr112693,S9479359,eBird - Traveling Count,315,4.828,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-L,L1337202,-13.591,-68.506,1997-08-15,27,,,05:55:00,obsr112693,S9479358,eBird - Traveling Count,380,4.828,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L816130,-17.9483605,-63.1605721,1992-03-07,27,,,06:00:00,obsr235781,S24762694,eBird - Traveling Count,180,5,7,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L1893214,-11.8883688,-71.4079548,1982-09-04,27,,,03:30:00,obsr286988,S19826357,eBird - Traveling Count,1020,20,2,1,
Plain Tyrannulet,Inezia inornata,1,BR-MT,L875085,-16.7842068,-56.844017,2003-06-23,27,,,,obsr131080,S8504207,eBird - Casual Observation,,,1,1,
Plain Tyrannulet,Inezia inornata,4,BR-MT,L875085,-16.7842068,-56.844017,1999-08-07,27,,,05:45:00,obsr167174,S6190269,eBird - Traveling Count,360,8.047,5,0,G155861
Plain Tyrannulet,Inezia inornata,2,BR-MT,L875085,-16.7842068,-56.844017,1999-08-06,27,,,08:00:00,obsr167174,S6185893,eBird - Traveling Count,480,48.279,3,1,G155678
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L602498,-12.603921,-69.2015076,1987-08-18,27,,,,obsr30770,S10136323,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,1,AR-Y,L756209,-23.7608379,-64.8495054,2001-02-16,27,,,08:30:00,obsr197345,S13241683,eBird - Traveling Count,540,48.28,2,1,
Plain Tyrannulet,Inezia inornata,X,AR-P,L2763261,-25.932,-58.2185,2001-07-28,27,,,,obsr426825,S26430714,Historical,,,,0,G1535519
Plain Tyrannulet,Inezia inornata,8,PE-MDD,L768519,-12.8376921,-69.2944136,1981-09-30,27,,,05:00:00,obsr235781,S22643019,eBird - Traveling Count,405,6,7,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L831297,-17.7664245,-63.0697632,1997-09-30,27,,,06:00:00,obsr112693,S14745798,eBird - Traveling Count,180,1.5,2,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L1004838,-12.87021,-71.37564,2002-08-14,27,,,07:00:00,obsr104695,S12239457,eBird - Casual Observation,,,14,1,G499952
Plain Tyrannulet,Inezia inornata,3,BO-S,L831297,-17.7664245,-63.0697632,1999-08-20,27,,,06:10:00,obsr112693,S9317445,eBird - Traveling Count,200,1.931,1,1,
Plain Tyrannulet,Inezia inornata,3,BO-S,L831297,-17.7664245,-63.0697632,1999-08-19,27,,,06:10:00,obsr112693,S9317444,eBird - Traveling Count,270,1.931,1,1,
Plain Tyrannulet,Inezia inornata,3,BO-S,L831297,-17.7664245,-63.0697632,1999-08-17,27,,,06:15:00,obsr112693,S9317442,eBird - Traveling Count,420,1.931,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L1763992,-12.9158244,-69.1273533,1981-10-05,27,,,,obsr603586,S22204572,eBird - Casual Observation,,,1,0,
Plain Tyrannulet,Inezia inornata,X,BO-B,L5168577,-13.012586,-63.3844185,2000-03-01,27,,,,obsr834182,S33146312,Historical,,,,1,
Plain Tyrannulet,Inezia inornata,1,AR-H,L3134671,-27.3189524,-58.9503729,2003-11-20,27,,,08:00:00,obsr534175,S21005585,eBird - Traveling Count,420,3.219,8,1,
Plain Tyrannulet,Inezia inornata,8,BO-S,L1008522,-20.44882,-63.20817,2001-06-01,27,,,05:50:00,obsr200801,S17632360,eBird - Casual Observation,,,3,1,G841681
Plain Tyrannulet,Inezia inornata,X,PY-19,L2761914,-22.35,-60.0333333,1990-06-18,27,,,,obsr38671,S24583861,Historical,,,,0,
Plain Tyrannulet,Inezia inornata,X,AR-P,L2763261,-25.932,-58.2185,2001-07-28,27,,,,obsr229078,S26689819,Historical,,,,0,G1535519
Plain Tyrannulet,Inezia inornata,X,BR-MT,L875421,-16.7480953,-56.857471,2003-06-10,27,,,,obsr270469,S11274275,eBird - Casual Observation,,,,0,
Plain Tyrannulet,Inezia inornata,3,BO-S,L1008518,-19.4458,-63.52892,2001-06-02,27,,,07:00:00,obsr200801,S17692146,eBird - Casual Observation,,,3,1,G845846
Plain Tyrannulet,Inezia inornata,1,BO-S,L831297,-17.7664245,-63.0697632,2001-05-13,27,,,02:00:00,obsr200801,S17629413,eBird - Casual Observation,,,5,1,G841659
Plain Tyrannulet,Inezia inornata,2,BO-S,L2368254,-18.3161646,-59.6839142,1984-07-23,27,,,08:30:00,obsr30312,S15310766,eBird - Traveling Count,390,2,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-N,L2386523,-11.1432429,-68.8708878,1986-07-17,27,,,07:00:00,obsr30312,S15414344,eBird - Traveling Count,405,2,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L2912836,-14.5471846,-60.9250259,1998-07-14,27,,,,obsr199722,S18752547,Historical,,,6,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L599450,-12.35545,-70.7064,2003-08-05,27,,,,obsr199722,S17494135,Historical,,,13,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L599450,-12.35545,-70.7064,2003-08-08,27,,,,obsr199722,S17481007,Historical,,,13,1,
Plain Tyrannulet,Inezia inornata,1,BO-B,L604843,-14.849059,-64.889001,1998-07-20,27,,,,obsr199722,S18742619,Historical,,,6,0,
Plain Tyrannulet,Inezia inornata,X,BO-S,L4868076,-17.7240252,-63.1980801,1985-10-18,27,,,,obsr93560,S31384187,Historical,,,,0,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L492606,-12.5662922,-70.1008415,2003-06-18,27,,,,obsr18062,S16837240,eBird - Casual Observation,,,1,0,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L492606,-12.5662922,-70.1008415,2004-03-27,27,,,,obsr18062,S22090620,Historical,,2.6,1,0,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L2710934,-16.5211998,-56.6530609,2002-06-07,27,,,08:00:00,obsr434831,S17427805,eBird - Traveling Count,60,1.609,1,0,
Plain Tyrannulet,Inezia inornata,5,BO-S,L2368181,-16.4856157,-62.4798489,1984-06-11,27,,,06:30:00,obsr30312,S15268372,eBird - Traveling Count,345,.5,1,1,
Plain Tyrannulet,Inezia inornata,1,BO-S,L2066039,-17.5399513,-63.2086372,1986-06-10,27,,,06:30:00,obsr17458,S13428822,eBird - Traveling Count,180,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L874945,-16.4569228,-56.69135,2004-08-08,27,,,06:00:00,obsr294016,S16244569,eBird - Casual Observation,,,2,1,
Plain Tyrannulet,Inezia inornata,X,BR-MT,L3902858,-16.4500796,-56.6822541,1998-09-04,27,,,,obsr352910,S25019008,Historical,,,12,1,
Plain Tyrannulet,Inezia inornata,8,BO-S,L1008522,-20.44882,-63.20817,2001-06-01,27,,,05:50:00,obsr37316,S17632667,eBird - Casual Observation,,,3,1,G841681
Plain Tyrannulet,Inezia inornata,X,BR-MS,L1256234,-19.9526426,-56.3044081,2004-08-11,27,,,,obsr648309,S31774742,Historical,,,,1,
Plain Tyrannulet,Inezia inornata,4,BR-MT,L875085,-16.7842068,-56.844017,1995-09-21,27,,,08:00:00,obsr177985,S24338016,eBird - Traveling Count,660,35,4,1,
Plain Tyrannulet,Inezia inornata,2,BO-S,L816130,-17.9483605,-63.1605721,1986-08-13,27,,,09:00:00,obsr30312,S15331799,eBird - Traveling Count,180,2,4,1,G710266
Plain Tyrannulet,Inezia inornata,2,BO-S,L816130,-17.9483605,-63.1605721,1986-08-13,27,,,09:00:00,obsr17458,S15398477,eBird - Traveling Count,180,2,4,1,G710266
Plain Tyrannulet,Inezia inornata,X,BR-MT,L875081,-17.3645242,-56.7751122,1998-09-06,27,,,,obsr352910,S25020409,Historical,,,12,1,
Plain Tyrannulet,Inezia inornata,4,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-10,27,,,07:30:00,obsr17458,S9249485,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,3,PE-MDD,L768519,-12.8376921,-69.2944136,1985-07-10,27,,,06:15:00,obsr30312,S20634110,eBird - Traveling Count,555,3,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-14,27,,,06:30:00,obsr17458,S9278598,eBird - Traveling Count,600,8.047,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-30,27,,,07:30:00,obsr17458,S9213906,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-20,27,,,07:30:00,obsr17458,S9658068,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,6,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-04,27,,,06:00:00,obsr17458,S9230001,eBird - Traveling Count,300,8.047,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-07,27,,,07:30:00,obsr17458,S9230087,eBird - Traveling Count,570,8.047,1,1,
Plain Tyrannulet,Inezia inornata,5,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-18,27,,,07:30:00,obsr17458,S9323680,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-02,27,,,07:30:00,obsr17458,S9224402,eBird - Traveling Count,360,.805,1,1,
Plain Tyrannulet,Inezia inornata,10,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-06,27,,,06:30:00,obsr17458,S9026757,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,5,PE-MDD,L768519,-12.8376921,-69.2944136,1985-07-06,27,,,06:35:00,obsr30312,S20629237,eBird - Traveling Count,490,3,1,1,
Plain Tyrannulet,Inezia inornata,5,PE-MDD,L768519,-12.8376921,-69.2944136,1987-06-09,27,,,06:00:00,obsr17458,S9248379,eBird - Traveling Count,780,8.047,2,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,1995-08-20,27,,,05:00:00,obsr24607,S8267514,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,2,PE-MDD,L768519,-12.8376921,-69.2944136,1981-07-30,27,,,06:00:00,obsr177985,S24214020,Historical,720,20,3,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,1995-08-26,27,,,05:00:00,obsr24607,S8267520,eBird - Casual Observation,,,,1,
Plain Tyrannulet,Inezia inornata,1,PE-MDD,L768519,-12.8376921,-69.2944136,1987-05-29,27,,,07:00:00,obsr17458,S9169040,eBird - Traveling Count,360,8.047,1,1,
Plain Tyrannulet,Inezia inornata,X,PE-MDD,L481850,-13.0774718,-69.5805359,1995-08-23,27,,,05:00:00,obsr24607,S8267517,eBird - Casual Observation,,,,1,
